original_image,corrected_image,label
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_101.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_10.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_102_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_100.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_104.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_102.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_104_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_104.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_107.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_106.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_107_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_108.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_11.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_10_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_110.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_10_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_110_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_10_3.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_113.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_10_4.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_113_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_10_5.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_116.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_10_6.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_116_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_10_7.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_119.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_10_8.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_119_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_110.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_11_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_112.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_11_10.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_114.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_11_11.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_116.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_11_2.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_118.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_11_3.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_12.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_11_4.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_120.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_11_5.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_122.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_11_6.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_124.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_11_7.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_126.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_11_8.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_128.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_11_9.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_12_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_122.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_12_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_122_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_12_3.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_125.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_12_4.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_125_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_12_5.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_128.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_12_6.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_128_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_12_8.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_131.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_130.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_131_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_132.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_134.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_134.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_134_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_136.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_137.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_138.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_137_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_14.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_13_10.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_140.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_13_6.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_142.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_14.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_144.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_140.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_146.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_140_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_148.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_143.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_14_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_143_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_14_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_146.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_14_3.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_146_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_14_4.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_149.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_14_5.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_149_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_14_6.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_14_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_14_7.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_14_11.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_14_8.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_14_2.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_150.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_14_3.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_152.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_14_4.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_154.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_14_5.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_156.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_14_7.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_158.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_14_8.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_16.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_14_9.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_160.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_152.jpg,0
