                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2974,                  1.793,                 1.9704,                 1.5199,                0.54695,                0.53196,                0.56172,                0.29128,                0.55034,                0.53196,                0.56159,                0.29821,                 1.6297,                0.72702,                 2.3276,                 2.0392,             0.00054556,             0.00054556,             0.00054556
                      2,                 1.1776,                0.39595,                 1.2694,                 1.3827,                0.78219,                0.81696,                0.83777,                0.53506,                0.76951,                0.83368,                0.83474,                0.52937,                 1.2868,                0.49757,                 1.6421,                  1.945,              0.0010576,              0.0010576,              0.0010576
                      3,                 1.1599,                 0.3691,                 1.1586,                 1.3786,                 0.8858,                0.81629,                0.89601,                0.58853,                 0.8858,                0.81629,                0.89697,                0.57231,                 1.2163,                  0.514,                 1.3127,                 1.7516,              0.0015257,              0.0015257,              0.0015257
                      4,                 1.1321,                0.35251,                 1.0336,                 1.3347,                0.84169,                0.78551,                0.84814,                  0.559,                0.84418,                0.78734,                0.85329,                0.53237,                 1.1853,                0.52327,                 1.1894,                 1.6602,               0.001469,               0.001469,               0.001469
                      5,                 1.1176,                0.35347,                 1.0202,                 1.3384,                0.88845,                0.82478,                0.88808,                0.60199,                0.88845,                0.82478,                0.88714,                0.58025,                 1.1161,                0.38694,                 1.0496,                 1.5795,               0.001469,               0.001469,               0.001469
                      6,                 1.1008,                0.35022,                0.92814,                 1.3078,                0.93021,                0.86135,                0.93957,                 0.6876,                0.93021,                0.86135,                0.93957,                0.67738,                0.98934,                0.32325,                0.91845,                 1.4343,              0.0014029,              0.0014029,              0.0014029
                      7,                 1.0788,                0.34937,                0.88914,                 1.2946,                0.78598,                 0.7617,                0.81632,                0.57553,                0.78598,                 0.7617,                0.81693,                0.56317,                 1.0781,                0.39517,                 1.0758,                 1.5139,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.0479,                0.33247,                  0.838,                 1.2859,                 0.8918,                0.82927,                0.88673,                0.61479,                0.87735,                0.84018,                0.88854,                0.60598,                 1.0622,                0.23198,                0.89598,                 1.4956,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.0439,                0.33282,                0.81417,                 1.2677,                0.91647,                 0.9099,                0.93665,                0.70017,                0.91647,                 0.9099,                0.93669,                0.70239,                0.89753,                0.23175,                0.70481,                 1.3394,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.0045,                0.33462,                0.78246,                 1.2482,                0.90098,                0.89907,                0.93818,                0.69646,                0.89659,                 0.8954,                0.93547,                0.69707,                0.90792,                0.23551,                0.67382,                 1.3481,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.0116,                0.32545,                0.78012,                 1.2598,                0.92755,                0.90273,                0.94061,                0.71122,                0.92755,                0.90273,                0.94228,                0.70525,                0.86522,                0.22866,                0.65742,                 1.3215,              0.0010729,              0.0010729,              0.0010729
                     12,                0.96905,                0.34671,                 0.7471,                 1.2372,                0.93116,                 0.9009,                0.94398,                0.73352,                0.92758,                0.91006,                0.94546,                0.71665,                   0.84,                0.22677,                0.61554,                 1.3068,              0.0010069,              0.0010069,              0.0010069
                     13,                0.97917,                 0.3239,                0.74446,                 1.2452,                0.90798,                0.92104,                0.94592,                0.71512,                0.90673,                0.91921,                0.94497,                0.70452,                0.88808,                0.22356,                0.62929,                 1.3285,             0.00094085,             0.00094085,             0.00094085
                     14,                0.96876,                0.32733,                0.72602,                 1.2219,                 0.9383,                0.91154,                0.94889,                0.73508,                 0.9403,                0.91337,                0.95277,                 0.7337,                0.82639,                0.22591,                0.55778,                 1.2771,             0.00087484,             0.00087484,             0.00087484
                     15,                0.94957,                0.32297,                0.70828,                 1.2148,                 0.9316,                0.92837,                0.94814,                0.72284,                0.92955,                0.92654,                0.94672,                0.71954,                0.85188,                0.22057,                0.60614,                 1.2941,             0.00080883,             0.00080883,             0.00080883
                     16,                0.85546,                 0.2123,                0.68371,                 1.2918,                0.91115,                0.93753,                 0.9549,                0.71232,                0.91115,                0.93753,                0.95455,                0.70454,                0.86389,                0.21956,                0.62926,                 1.2986,             0.00074282,             0.00074282,             0.00074282
                     17,                0.87148,                0.20908,                0.60864,                 1.2998,                0.94957,                0.92837,                0.95514,                0.73656,                0.94957,                0.92837,                0.95495,                0.72154,                0.82651,                0.21387,                0.57233,                 1.2759,              0.0006768,              0.0006768,              0.0006768
                     18,                0.83213,                0.20092,                0.57678,                 1.2763,                0.92778,                0.93603,                 0.9475,                0.73906,                0.92598,                0.93468,                0.94799,                0.73269,                0.83203,                0.21908,                 0.5865,                 1.2782,             0.00061079,             0.00061079,             0.00061079
                     19,                0.83797,                0.21142,                0.56936,                 1.2841,                0.93017,                0.94302,                0.94908,                0.72966,                0.93017,                0.94302,                0.94946,                0.72502,                0.85001,                0.21964,                0.53946,                 1.3023,             0.00054478,             0.00054478,             0.00054478
                     20,                0.82696,                0.20821,                0.55671,                 1.2721,                0.94811,                0.92776,                0.96049,                0.75977,                0.94811,                0.92776,                0.96049,                0.75575,                0.79858,                0.21465,                0.50378,                 1.2484,             0.00047876,             0.00047876,             0.00047876
                     21,                0.80145,                0.21377,                0.52817,                 1.2502,                0.93956,                0.94869,                0.96543,                0.77325,                0.93956,                0.94869,                0.96543,                 0.7702,                0.78214,                0.21227,                0.47213,                  1.245,             0.00041275,             0.00041275,             0.00041275
                     22,                0.80141,                0.20542,                0.51986,                 1.2408,                0.93776,                0.94968,                0.95834,                0.76016,                0.93594,                0.94785,                0.95797,                0.76105,                0.77864,                0.21096,                0.47351,                 1.2403,             0.00034674,             0.00034674,             0.00034674
                     23,                0.78209,                 0.2173,                0.50711,                 1.2293,                0.94894,                0.94669,                0.95844,                0.75691,                0.94656,                0.94485,                0.95813,                0.74835,                0.77344,                0.21057,                0.47998,                 1.2368,             0.00028072,             0.00028072,             0.00028072
                     24,                0.76926,                0.21485,                0.49505,                 1.2195,                0.93976,                0.94852,                0.96587,                0.77117,                0.93976,                0.94852,                0.96587,                0.76344,                0.76337,                0.21011,                0.45885,                 1.2282,             0.00021471,             0.00021471,             0.00021471
                     25,                0.76156,                0.20588,                0.48027,                 1.2251,                0.95287,                 0.9357,                 0.9629,                0.77001,                0.95287,                 0.9357,                0.96293,                0.76364,                0.75789,                0.20928,                0.45566,                 1.2202,              0.0001487,              0.0001487,              0.0001487
